label,name
治疗方式,药物治疗
治疗方式,支持性治疗
食物,清蒸鸡蛋羹
食物,百合双耳鸡蛋羹
食物,排骨汤
食物,罗汉果雪耳鸡汤
食物,小黄瓜凉拌面
食物,黄瓜三丝汤
食物,黄瓜拌兔丝
食物,黄瓜拌皮丝
食物,螃蟹
食物,海蟹
食物,海虾
食物,海螺
食物,南瓜子仁
食物,圆白菜
食物,樱桃番茄
食物,小白菜
药物,土霉素片
药物,氨苄西林胶囊
药物,小儿百部止咳糖浆
药物,环酯红霉素胶囊
药物,复方菠萝蛋白酶肠溶片
药物,红霉素肠溶片
药物,白及颗粒
药物,依托红霉素混悬液
药物,复方虫草补肾口服液
药物,低糖型
药物,琥乙红霉素颗粒
药物,鹭鸶咯丸
药物,大蒜素胶囊
药物,复方百部止咳颗粒
药物,依托红霉素颗粒
药物,琥乙红霉素片
药物,白及颗粒
药物,依托红霉素混悬液
症状,咳嗽
症状,窒息
症状,充血
症状,流泪
症状,鼻出血
症状,水肿
症状,低热
症状,发绀
症状,紧张
症状,打喷嚏
症状,胸闷
症状,抽搐
症状,干咳
症状,溃疡
症状,惊厥
症状,恐惧
科室,小儿内科
科室,儿科
检查,淋巴细胞
治疗方式,药物治疗
治疗方式,支持性治疗
食物,豆腐干炒韭菜
食物,素炒小白菜
食物,白菜蛋花粥
食物,海蟹
食物,海虾
食物,海参（水浸）
食物,辣椒(青、尖)
食物,鸡蛋
食物,大豆
食物,猪肉(瘦)
食物,樱桃番茄
药物,布美他尼片
药物,大月晶丸
药物,十一味金色丸
药物,二十五味绿绒蒿丸
药物,仁青芒觉
药物,二维葡醛内酯片
药物,季德胜蛇药片
药物,注射用硫代硫酸钠
药物,秘诀清凉散
药物,地塞米松磷酸钠注射液
药物,盐酸利多卡因注射液
药物,注射用鼠神经生长因子
药物,仁青芒觉
药物,季德胜蛇药片
症状,耳鸣
症状,咳嗽
症状,恶心
症状,头晕
症状,昏迷
症状,流泪
症状,畏光
症状,心悸
症状,腹泻
症状,谵妄
症状,休克
症状,腹痛
症状,抽搐
症状,头痛
症状,震颤
症状,紫绀
症状,嗜睡
科室,急诊科
检查,血常规
检查,碱性磷酸酶
治疗方式,药物治疗
治疗方式,支持性治疗
食物,紫苏粥
食物,菊花芦根茶
