label,start,end
治疗,百日咳,药物治疗
治疗,百日咳,支持性治疗
推荐吃,百日咳,清蒸鸡蛋羹
推荐吃,百日咳,百合双耳鸡蛋羹
推荐吃,百日咳,排骨汤
推荐吃,百日咳,罗汉果雪耳鸡汤
推荐吃,百日咳,小黄瓜凉拌面
推荐吃,百日咳,黄瓜三丝汤
推荐吃,百日咳,黄瓜拌兔丝
推荐吃,百日咳,黄瓜拌皮丝
忌吃,百日咳,螃蟹
忌吃,百日咳,海蟹
忌吃,百日咳,海虾
忌吃,百日咳,海螺
宜吃,百日咳,南瓜子仁
宜吃,百日咳,圆白菜
宜吃,百日咳,樱桃番茄
宜吃,百日咳,小白菜
治疗药物,百日咳,土霉素片
治疗药物,百日咳,氨苄西林胶囊
治疗药物,百日咳,小儿百部止咳糖浆
治疗药物,百日咳,环酯红霉素胶囊
治疗药物,百日咳,复方菠萝蛋白酶肠溶片
治疗药物,百日咳,红霉素肠溶片
治疗药物,百日咳,白及颗粒
治疗药物,百日咳,依托红霉素混悬液
治疗药物,百日咳,复方虫草补肾口服液
治疗药物,百日咳,低糖型
治疗药物,百日咳,琥乙红霉素颗粒
治疗药物,百日咳,鹭鸶咯丸
治疗药物,百日咳,大蒜素胶囊
治疗药物,百日咳,复方百部止咳颗粒
治疗药物,百日咳,依托红霉素颗粒
治疗药物,百日咳,琥乙红霉素片
常见药物,百日咳,白及颗粒
常见药物,百日咳,依托红霉素混悬液
并发症,百日咳,支气管肺炎
并发症,百日咳,肺不张
病症,百日咳,咳嗽
病症,百日咳,窒息
病症,百日咳,充血
病症,百日咳,流泪
病症,百日咳,鼻出血
病症,百日咳,水肿
病症,百日咳,低热
病症,百日咳,发绀
病症,百日咳,紧张
病症,百日咳,打喷嚏
病症,百日咳,胸闷
病症,百日咳,抽搐
病症,百日咳,干咳
病症,百日咳,溃疡
病症,百日咳,惊厥
病症,百日咳,恐惧
科室从属,小儿内科,儿科
就诊科室,百日咳,小儿内科
检查项目,百日咳,淋巴细胞
治疗,苯中毒,药物治疗
治疗,苯中毒,支持性治疗
推荐吃,苯中毒,豆腐干炒韭菜
推荐吃,苯中毒,素炒小白菜
推荐吃,苯中毒,白菜蛋花粥
忌吃,苯中毒,海蟹
忌吃,苯中毒,海虾
忌吃,苯中毒,海参（水浸）
忌吃,苯中毒,辣椒(青、尖)
宜吃,苯中毒,鸡蛋
宜吃,苯中毒,大豆
宜吃,苯中毒,猪肉(瘦)
宜吃,苯中毒,樱桃番茄
治疗药物,苯中毒,布美他尼片
治疗药物,苯中毒,大月晶丸
治疗药物,苯中毒,十一味金色丸
治疗药物,苯中毒,二十五味绿绒蒿丸
治疗药物,苯中毒,仁青芒觉
治疗药物,苯中毒,二维葡醛内酯片
治疗药物,苯中毒,季德胜蛇药片
治疗药物,苯中毒,注射用硫代硫酸钠
治疗药物,苯中毒,秘诀清凉散
治疗药物,苯中毒,地塞米松磷酸钠注射液
治疗药物,苯中毒,盐酸利多卡因注射液
治疗药物,苯中毒,注射用鼠神经生长因子
常见药物,苯中毒,仁青芒觉
常见药物,苯中毒,季德胜蛇药片
并发症,苯中毒,贫血
病症,苯中毒,耳鸣
病症,苯中毒,咳嗽
病症,苯中毒,恶心
病症,苯中毒,头晕
病症,苯中毒,昏迷
病症,苯中毒,流泪
病症,苯中毒,畏光
病症,苯中毒,心悸
病症,苯中毒,腹泻
病症,苯中毒,谵妄
病症,苯中毒,休克
病症,苯中毒,腹痛
病症,苯中毒,抽搐
病症,苯中毒,头痛
病症,苯中毒,震颤
病症,苯中毒,紫绀
病症,苯中毒,嗜睡
就诊科室,苯中毒,急诊科
检查项目,苯中毒,血常规
